Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B2112,BRIDGE OVER POTJIES RIVER,Bridge,Bridge,2/1/2021,TR00102,77.29,George,19.4,12.7,2,Simply supported,1/1/1959
B2113,BRIDGE OVER KAMMANASSIE RIVER,Bridge,Bridge,2/1/2021,TR00103+,0.02,George,48.3,11.4,3,Simply supported,1/1/1961
B2114,Olifants River,Bridge,Bridge,11/22/2019,TR0103,32.13,George,51.6,11.8,4,Simply supported,1/1/1961
B2167,Black River Viaduct (Voortrekker Road),Bridge,Bridge,11/6/2019,TR00201,0.66,City of Cape Town (LMB),371,32.16,26,Simply supported,
B2168,BERKLEY ROAD UNDERPASS,Bridge,Bridge,11/6/2019,TR00201,1.12,City of Cape Town (LMB),48.15,28.5,4,Simply supported,
B2170,BLACK RIVER AT VALKENBERG NO 1,Bridge,Bridge,11/11/2003,TR00201,1.97,City of Cape Town (LMB),62.8,12.5,4,Simply supported,1/1/1962
B2170A,BLACK RIVER AT VALKENBERG NO 2,Bridge,Bridge,11/11/2003,TR00201,1.97,City of Cape Town (LMB),62.8,12.5,4,Simply supported,1/1/2005
B2172,Black River NE Ramp,Bridge,Bridge,11/7/2019,TR00201,3,City of Cape Town (LMB),54.8,8.2,3,Simply supported,
B2175,ELSIESKRAAL RIVER,Bridge,Bridge,11/15/2019,TR00201,5,City of Cape Town (LMB),15,37,2,Simply supported,
B2177,Bokmakierie Road Interchange,Bridge,Bridge,11/8/2019,TR00201,5.64,City of Cape Town (LMB),67.4,24,4,Simply supported,
B2178,LANGA ROAD INTERCHANGE,Bridge,Bridge,11/13/2019,TR00201,6.84,City of Cape Town (LMB),48.2,11.2,4,Simply supported,
B2179,VANGUARD DRIVE INTERCHANGE NO 01,Bridge,Bridge,11/13/2019,TR00201,8.85,City of Cape Town (LMB),53.6,15.3,4,Simply supported,
B2180,MODDERDAM INTERCHANGE,Bridge,Bridge,11/12/2019,TR00201,10.45,City of Cape Town (LMB),52.8,15,4,Simply supported,
B2181,NYANGA ROAD OVER RAIL NO 1,Bridge,Bridge,4/2/2003,TR00201,10.86,City of Cape Town (LMB),20.6,15.4,2,Simply supported,1/1/1962
B2181A,NYANGA ROAD OVER RAIL NO2 - WIDENING NEW NUMBER B5955,Bridge,Bridge,4/2/2003,TR00201,10.86,City of Cape Town (LMB),20.6,15.4,2,Simply supported,1/1/1962
B2182,NYANGA WEST ROAD OVER ROAD - REPLACED BY B5996,Bridge,Bridge,4/3/2003,TR00201,11.47,City of Cape Town (LMB),54,12.8,4,Simply supported,1/1/1961
B2184,BORCHERDS QUARRY ROAD INTERCHANGE NO 01,Bridge,Bridge,11/12/2019,TR00201,14.14,City of Cape Town (LMB),39,16,3,Simply supported,
B2184A,BORCHERDS QUARRY INTERCHANGE NO 2,Bridge,Bridge,11/12/2019,TR00201,14.14,City of Cape Town (LMB),39,16,3,Simply supported,
