Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B2676,Road over Rail at Voorbaai,Bridge,Bridge,11/6/2019,TR03301,13.36,Mossel Bay,Oudtshoorn,Garden Route (Eden),6/30/2022,83.61,83.31
B2678,MOERAS RIVER,Bridge,Bridge,11/6/2019,TR03302+,44.66,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,85.71,90.09
B2679,KANDELAARS RIVER,Bridge,Bridge,11/6/2019,TR03302+,62.68,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,82.14,82.28
B2680,B2680,Bridge,Bridge,11/6/2019,TR03302+,67.81,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,76.79,63.87
B2681,GROBBELAARS RIVER,Bridge,Bridge,1/20/2003,TR03302,76.21,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,77.06,15.36
B2682,ROAD OVER RAIL BRIDGE AT STOLSVLAKTE,Bridge,Bridge,1/22/2020,TR03303,8.59,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,92.50,96.54
B2683,CANGO RIVER BRIDGE,Bridge,Bridge,3/23/2020,TR03303,21.03,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,95.16,94.50
B2684,ROAD OVER RAIL BRIDGE AT LE ROUX STATION,Bridge,Bridge,3/23/2020,TR03303,27.60,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,98.61,97.97
B2685,NELS RIVER BRIDGE,Bridge,Bridge,3/24/2020,TR03303,29.26,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,95.76,96.34
B2686,KLEIN RIVER BRIDGE,Bridge,Bridge,3/24/2020,TR03303,35.01,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,97.62,97.28
B2687,MEIRINGSPOORT CAUSEWAY NO 1,Bridge,Bridge,11/8/2019,TR03304+,1.75,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,87.61,90.29
B2688,MEIRINGSPOORT CAUSEWAY NO 2,Bridge,Bridge,11/8/2019,TR03304+,2.87,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,84.69,89.69
B2689,MEIRINGSPOORT CAUSEWAY NO 4,Bridge,Bridge,11/8/2019,TR03304+,5.80,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,81.19,89.64
B2689A,Meiringspoort Causeway no 5,Bridge,Bridge,11/23/2019,TR03304,6.03,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,96.37,94.94
B2689B,MEIRINGSPOORT CAUSEWAY NO 6,Bridge,Bridge,11/8/2019,tr03304+,6.31,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,81.62,89.77
B2689C,Meiringspoort Causeway no 7,Bridge,Bridge,11/23/2019,TR03304,6.82,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,95.42,93.94
